"","song_name","artist_name","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","time_signature","week"
"107","Color Of Your Soul","GRiZ",0.486,0.964,9,-3.615,0.0548,0.00147,0.0628,0.101,0.177,139.958,"71LZ7lwCisTG3H9UXKraTe",202286,4,2022-03-24
"108","Highway Boys","Zach Bryan",0.484,0.362,0,-8.989,0.05,0.125,1.39e-05,0.103,0.299,153.911,"77OK2W45f7DEYgUEQs00PY",220035,4,2022-03-24
"109","HANDSOMER (Remix) (Feat. Ktlyn)","Russ",0.891,0.62,8,-6.822,0.157,0.176,1.59e-06,0.103,0.535,82.035,"0vp1sk3FzuDBeLMLcRhQdL",143415,4,2022-03-24
"110","Lemon Tree","Mt. Joy",0.365,0.748,10,-9.145,0.0881,0.55,0.503,0.303,0.475,121.285,"0SnCZci0wyVj0RZXknNaWq",248560,4,2022-03-24
"111","Firepit","Phantoms",0.669,0.884,0,-6.587,0.0367,0.0164,0.00534,0.111,0.188,123.998,"598YYFar90QPnyGE3jmgGo",243331,4,2022-03-24
"112","Tiebreaker","The Head And The Heart",0.6,0.713,6,-5.238,0.0381,0.0765,0.000269,0.575,0.543,133.211,"2jQrCn5lMF1tnICJ0sv1qZ",239467,4,2022-03-24
"113","up again","mike.",0.844,0.407,1,-9.092,0.0507,0.627,0.0276,0.117,0.311,92.981,"4wrhAoRQfmv35znEXDip7X",168902,4,2022-03-24
"114","Into The Void","Minnesota",0.475,0.662,7,-6.799,0.0289,0.716,0.789,0.119,0.208,169.93,"2Mb8T742ckl5v5DkMob2f3",240000,3,2022-03-24
"115","Wild as Her","Corey Kent",0.497,0.726,0,-6.018,0.0363,0.00331,0,0.103,0.418,147.91,"7FEu6U2jXAs2URjx93AyTm",201639,4,2022-03-24
"116","Stars In The Sky - From Sonic The Hedgehog 2","Kid Cudi",0.734,0.766,1,-6.44,0.0376,0.0497,0.000314,0.0931,0.832,132.064,"0WFOl7P9gowO92fuI0eJIZ",185669,4,2022-03-24
"117","Puzzle Box","Rezz",0.696,0.488,1,-7.508,0.0403,0.196,0.836,0.2,0.202,95.064,"5EhnuLMer8qAXEDwmLtyrW",212211,4,2022-03-24
"118","Rolex® On A Redneck","Brantley Gilbert",0.651,0.793,7,-4.571,0.0311,0.309,0,0.371,0.381,130.012,"2jaNHcSRgPvtMXu5rboE7T",179867,4,2022-03-24
"119","Humble Quest","Maren Morris",0.623,0.727,3,-6.585,0.037,0.0721,0.000318,0.117,0.349,113.902,"2kxytjpDPwjZGqVLH8eWkr",204240,4,2022-03-24
"120","Cowboy Killer","Ian Munsick",0.784,0.723,11,-5.619,0.04,0.0163,0,0.16,0.739,115.047,"6a2DSH1UNOj3wRAFTD2Ljd",132507,4,2022-03-24
"121","Why","Late Night Radio",0.42,0.656,10,-6.287,0.0382,0.000485,0.17,0.0681,0.403,162.018,"5lT73kFy624ns90M1foaSc",192222,3,2022-03-24
"122","Soy El Unico","Yahritza Y Su Esencia",0.708,0.449,4,-4.369,0.0286,0.451,0,0.111,0.63,84.396,"6HJIZUOiZDE814XMhRGSZN",214000,1,2022-03-24
"123","Child of God","Chance the Rapper",0.445,0.439,0,-13.148,0.185,0.846,0.016,0.109,0.368,166.516,"0oGl8U34a4tiAZPj5MMI2e",255487,4,2022-03-24
"124","drug dealer (feat. Lil Wayne)","Machine Gun Kelly",0.633,0.717,10,-3.875,0.0493,0.00602,0,0.151,0.602,142.951,"4Gm1VAxKdLS9aL7bkbZZyr",172283,4,2022-03-24
"125","Fall Into Me (feat. Dylan Matthew)","NGHTMRE",0.441,0.834,7,-3.029,0.0641,0.0721,0,0.114,0.245,139.96,"5jwPoLlVOLcawSpvDpwlty",231429,4,2022-03-24
"126","HOME","Mike Dimes",0.895,0.468,0,-5.777,0.378,0.342,0,0.213,0.428,118.019,"08hYZJIjLZwUVDiMzzeu0q",174915,4,2022-03-24
"127","Gassed Up","Zeds Dead",0.643,0.985,4,-1.848,0.41,0.0152,0.000965,0.311,0.182,140.029,"6uwjDA0Qi6hk8C6lPJIMc9",238286,4,2022-03-24
"128","Pool","Still Woozy",0.664,0.477,0,-10.53,0.0551,0.394,4.15e-05,0.136,0.273,100.046,"1ZP4Qxb7USL3EezbxfpOVF",223000,4,2022-03-24
"129","Troubles [Feat. T-Pain]","Denzel Curry",0.78,0.751,7,-4.681,0.177,0.546,3.36e-05,0.176,0.899,180.008,"5gAYHuWkL18ccsxM6akJXP",160000,4,2022-03-24
"130","Leave You Alone","Kane Brown",0.447,0.538,5,-7.258,0.0338,0.119,0,0.188,0.453,123.746,"5J8AKBaUq1WHrzrm9YWlP3",214239,3,2022-03-24
"131","Story Of A Stoner","Blunts & Blondes",0.758,0.749,11,-2.817,0.0454,0.0578,0.0711,0.449,0.171,120.012,"1glDjPONCqrWHy6YaGgYFc",156000,4,2022-03-24
"132","I Be","Key Glock",0.905,0.724,0,-6.255,0.237,0.00813,0,0.329,0.361,136.982,"3p4YmRsO7aOu8PUbwdN3OB",193480,4,2022-03-24
"133","Lost and Found Freestyle 2019 (with Tyler, The Creator & Nigo)","A$AP Rocky",0.458,0.697,1,-5.02,0.325,0.0185,0,0.784,0.495,172.584,"5x8NgG7Ya18m9wafOvvWYk",174863,4,2022-03-24
"134","Last Night Lonely","Jon Pardi",0.646,0.816,6,-2.65,0.0269,0.00496,0,0.179,0.865,102.972,"3SeeaIXnrCfT88vHVCRWHl",181991,4,2022-03-24
"135","American Dream","Bryce Vine",0.665,0.828,10,-4.69,0.0606,0.131,0,0.0818,0.69,126.943,"5fnYDXLhFOioudAeiQGOPD",160435,4,2022-03-24
"136","Synergy (feat. Rob Damiani)","Dance Gavin Dance",0.622,0.987,11,-2.573,0.0545,0.054,0,0.478,0.738,126.023,"06slOFQgdYZFNrTTf84UYR",197117,4,2022-03-24
"137","Ain't That A Feel","Tep No",0.611,0.726,1,-6.1,0.0549,0.42,0,0.287,0.399,102.964,"5kEQbkkfbdLgQMiC9nQkgA",221123,4,2022-03-24
"138","Dear Alcohol","Dax",0.815,0.504,1,-9.617,0.0471,0.262,0,0.102,0.401,129.984,"1BbUq9wc4N2q53fR9S6NsZ",236308,4,2022-03-24
"139","Berserk","Liquid Stranger",0.77,0.655,8,-3.132,0.0542,0.00752,0.0108,0.0937,0.282,80.021,"2XFw9Ym5nzGhxcEUaEL4c9",240000,4,2022-03-24
"140","You & I - MashBit Remix","Flux Pavilion",0.523,0.406,1,-7.725,0.0333,0.339,0,0.116,0.228,135.618,"0dBTtQnE9K31CBErwl0uqX",199715,4,2022-03-24
"141","Surround Sound (feat. 21 Savage & Baby Tate)","JID",0.57,0.573,5,-6.935,0.476,0.156,0,0.256,0.517,76.006,"0cp97b37sFNsdIbQH6po3T",229938,4,2022-03-24
